question,answer
chào bạn , Hi chúc bạn một ngày vui vẻ . Bạn có khỏe không ?
Hi chúc bạn một ngày vui vẻ . Bạn có khỏe không ?, Tôi ổn rất vui khi được bạn hỏi thăm
xin chào , Hi chúc bạn một ngày vui vẻ . Bạn có khỏe không ?
hello , Hi chúc bạn một ngày vui vẻ . Bạn có khỏe không ?
Hi , Hi chúc bạn một ngày vui vẻ . Bạn có khỏe không ?
hello bạn, Hi chúc bạn một ngày vui vẻ . Bạn có khỏe không ?
Hi bạn, Hi chúc bạn một ngày vui vẻ . Bạn có khỏe không ?
Tôi khỏe . còn bạn thì sao , Tôi khá tốt. Cảm ơn vì đã hỏi.
Hi chúc bạn một ngày vui vẻ . Bạn có khỏe không ?, Tôi ổn .cảm ơn bạn đã quan tâm 
chào bạn thế nào rồi?,Tôi ổn còn bạn thì sao?
Tôi ổn.còn bạn thì sao?,Tôi khá tốt. Cảm ơn vì đã hỏi.
Tôi khá tốt. Cảm ơn vì đã hỏi.,Không vấn đề.Vậy bạn gần đây thế nào?
Không vấn đề.Vậy bạn gần đây thế nào?,Tôi đã khá tốt .còn bạn thì sao?
Tôi đang khỏe.còn bạn thì sao?,Tôi cũng vậy.
bạn đang làm gì vậy, tôi đang uống nước mía . Bạn muốn uống không?
tôi đang uống nước mía . Bạn muốn uống không? , Ồ thật tuyệt khi trời nóng thế này mà có ly nước mía.
bạn đang làm việc chứ, tôi đang chờ yêu cầu từ bạn . bạn có yêu cầu gì không ?
bạn có thích nó ở đó?,Không sao đâu.Đó là một khuôn viên thực sự lớn.
Không sao đâu.Đó là một khuôn viên thực sự lớn.,Chúc may mắn với trường học.
Chúc may mắn với trường học.,Cảm ơn rất nhiều.
thế nào rồi?,tôi đang làm tốt.Còn bạn thì sao?
tôi đang làm tốt.Còn bạn thì sao?,Không bao giờ tốt hơn cảm ơn.
Không bao giờ tốt hơn cảm ơn.,Vậy gần đây bạn đã được như thế nào?
Vậy gần đây bạn đã được như thế nào?,Tôi thực sự đã khá tốt.Bạn?
Tôi thực sự đã khá tốt.Bạn?,Tôi thực sự đang đi học ngay bây giờ.
Tôi thực sự đang đi học ngay bây giờ.,Bạn học ở trường nào?
Bạn học ở trường nào?,Tôi đang tham dự PCC ngay bây giờ.
Tôi đang tham dự PCC ngay bây giờ.,Bạn có thích nó ở đó không?
Bạn có thích nó ở đó không?,không tệ.Có rất nhiều người ở đó.
không tệ.Có rất nhiều người ở đó.,chúc may mắn với điều đó.
chúc may mắn với điều đó.,Cảm ơn.
Hôm nay bạn khỏe không?,Tôi đang làm tốt.còn bạn thì sao?
Tôi đang làm tốt.còn bạn thì sao?,Tôi hoàn toàn đáng yêu cảm ơn bạn.
Tôi hoàn toàn đáng yêu cảm ơn bạn.,Mọi thứ đều tốt với bạn?
Mọi thứ đều tốt với bạn?,Tôi đã không tốt hơn.con bạn thi Sao?
Tôi đã không tốt hơn.con bạn thi Sao?,Tôi bắt đầu đi học gần đây.
Tôi bắt đầu đi học gần đây.,Bạn đi học ở đâu?
Bạn đi học ở đâu?,Tôi sẽ đến PCC.
Tôi sẽ đến PCC.,Làm thế nào để bạn thích nó cho đến nay?
Làm thế nào để bạn thích nó cho đến nay?,Tôi thích nó cho đến nay.Các lớp học của tôi khá tốt ngay bây giờ.
Tôi thích nó cho đến nay.Các lớp học của tôi khá tốt ngay bây giờ.,Chúc các bạn may mắn.
Hôm nay là một ngày xấu xí.,Tôi biết.Tôi nghĩ trời có thể mưa.
Tôi biết.Tôi nghĩ trời có thể mưa.,Đó là giữa mùa hè hôm nay trời không nên mưa.
Đó là giữa mùa hè, hôm nay trời không nên mưa.điêu đo se ky dị.
điêu đo se ky dị.,Vâng đặc biệt là vì nó là chín mươi độ bên ngoài.
Vâng đặc biệt là vì nó là chín mươi độ bên ngoài.,Tôi biết sẽ thật kinh khủng nếu trời mưa và bên ngoài trời nóng.
Tôi biết sẽ thật kinh khủng nếu trời mưa và bên ngoài trời nóng.,được điêu đo co thể.
được điêu đo co thể.,Tôi thực sự ước nó không quá nóng mỗi ngày.
Tôi thực sự ước nó không quá nóng mỗi ngày.,Tôi cũng vậy.Tôi không thể đợi đến mùa đông.
Tôi cũng vậy.Tôi không thể đợi đến mùa đông.,Tôi cũng thích mùa đông nhưng đôi khi trời quá lạnh.
Tôi cũng thích mùa đông nhưng đôi khi trời quá lạnh.,Tôi thà lạnh hơn nóng.
Tôi thà lạnh hơn nóng.,Tôi cũng vậy.
Hôm nay nó trông không đẹp lắm.,bạn đúng.Tôi nghĩ rằng trời sẽ mưa sau đó.
bạn đúng.Tôi nghĩ rằng trời sẽ mưa sau đó.,Vào giữa mùa hè trời không nên mưa.
Vào giữa mùa hètrời không nên mưa.,Điều đó có vẻ không đúng.
Điều đó có vẻ không đúng.,Xem xét rằng nó ở ngoài chín mươi độ bên ngoài điều đó sẽ thật kỳ lạ.
Xem xét rằng nó ở ngoài chín mươi độ bên ngoài điều đó sẽ thật kỳ lạ.,Chính xác sẽ không tốt nếu trời bắt đầu mưa.Trời quá nóng.
Chính xác sẽ không tốt nếu trời bắt đầu mưa.Trời quá nóng.,Tôi biết bạn hoàn toàn đúng.
Tôi biết bạn hoàn toàn đúng.,Tôi ước nó sẽ làm mát một ngày.
Tôi ước nó sẽ làm mát một ngày.,Đó là cảm giác của tôi tôi muốn mùa đông đến sớm.
Đó là cảm giác của tôi tôi muốn mùa đông đến sớm.,Tôi tận hưởng mùa đông nhưng đôi khi trời rất lạnh.
Tôi tận hưởng mùa đông nhưng đôi khi trời rất lạnh.,Tôi hiểu ý của bạn nhưng tôi muốn lạnh hơn là nóng.
Tôi hiểu ý của bạn nhưng tôi muốn lạnh hơn là nóng.,Đó chính xác là cảm giác của tôi.
Tôi ước hôm nay là một ngày đẹp hơn.,điều đó đúng.Tôi hy vọng trời không mưa.
điều đó đúng.Tôi hy vọng trời không mưa.,Trời sẽ không mưa vào giữa mùa hè.
Trời sẽ không mưa vào giữa mùa hè.,Có vẻ như không đúng nếu trời bắt đầu mưa ngay bây giờ.
Có vẻ như không đúng nếu trời bắt đầu mưa ngay bây giờ.,Sẽ thật kỳ lạ nếu trời bắt đầu mưa trong thời tiết chín mươi độ.
Sẽ thật kỳ lạ nếu trời bắt đầu mưa trong thời tiết chín mươi độ.,Bất kỳ mưa ngay bây giờ sẽ là vô nghĩa.
Bất kỳ mưa ngay bây giờ sẽ là vô nghĩa.,Đúng vậy nó thực sự sẽ như vậy.
Đúng vậy nó thực sự sẽ như vậy.,Tôi muốn nó làm mát một số.
Tôi muốn nó làm mát một số.,Tôi hiểu ý của bạn tôi không thể đợi cho đến khi là mùa đông.
Tôi hiểu ý của bạn tôi không thể đợi cho đến khi là mùa đông.,Mùa đông là tuyệt vời.Tôi ước đôi khi nó không trở nên lạnh như vậy.
Mùa đông là tuyệt vời.Tôi ước đôi khi nó không trở nên lạnh như vậy.,Tôi thà đối phó với mùa đông hơn là mùa hè.
Đó là một ngày tốt đẹp.,Vâng đúng vậy.
Vâng đúng vậy.,Có vẻ như trời có thể mưa sớm.
Có vẻ như trời có thể mưa sớm.,Vâng và tôi hy vọng rằng nó làm.
Vâng và tôi hy vọng rằng nó làm.,tại sao vậy?
tại sao vậy?,Tôi thực sự thích làm thế nào mưa làm sạch không khí.
Tôi thực sự thích làm thế nào mưa làm sạch không khí.,Tôi cũng vậy.Nó luôn luôn có mùi tươi sau khi trời mưa.
Tôi cũng vậy.Nó luôn luôn có mùi tươi sau khi trời mưa.,Vângnhưng tôi yêu không khí ban đêm sau khi trời mưa.
Vâng nhưng tôi yêu không khí ban đêm sau khi trời mưa.,Thực ra?Tại sao lại như vậy?
Thực ra?Tại sao lại như vậy?,Bởi vì bạn có thể nhìn thấy các ngôi sao một cách hoàn hảo.
Bởi vì bạn có thể nhìn thấy các ngôi sao một cách hoàn hảo.,Tôi thực sự hy vọng trời mưa hôm nay.
Tôi thực sự hy vọng trời mưa hôm nay.,Vâng tôi cũng vậy.
Đó không phải là một ngày tốt đẹp?,nó thực sự là.
nó thực sự là.,Có vẻ như trời có thể mưa hôm nay.
Có vẻ như trời có thể mưa hôm nay.,Hy vọng nó sẽ.
Hy vọng nó sẽ.,làm thế nào mà?
làm thế nào mà?,Tôi thích làm thế nào rõ ràng bầu trời sau khi trời mưa.
